X,Y,Z,R
533435.86,4840334.5,154.09,230.0
533435.72,4840334.39,154.03,230.0
533435.66,4840333.99,154.06,210.0
533435.61,4840334.12,153.93,230.0
533435.96,4840334.57,153.87,250.0
533435.74,4840334.48,153.88,260.0
533435.63,4840334.28,153.77,230.0
533435.68,4840334.44,153.74,260.0
533435.86,4840334.54,153.63,260.0
533436.06,4840334.65,153.55,250.0
533435.9,4840334.51,153.25,260.0
533435.58,4840334.06,153.64,210.0
533435.56,4840334.17,153.6,250.0
533435.65,4840334.32,153.27,260.0
533435.63,4840334.39,153.15,270.0
533435.55,4840333.61,154.07,180.0
533435.31,4840333.6,153.96,215.0
533435.6,4840333.76,153.76,190.0
533435.25,4840333.62,153.84,210.0
533435.23,4840333.62,153.69,240.0
533435.13,4840333.43,153.54,210.0
533435.2,4840333.64,153.38,230.0
533435.3,4840334.23,153.03,260.0
533435.23,4840333.11,153.9,210.0
533435.19,4840333.16,153.7,230.0
533435.12,4840333.36,153.51,240.0
533434.93,4840332.95,154.14,220.0
533434.92,4840332.87,153.96,200.0
533434.78,4840332.59,154.26,180.0
533434.66,4840332.7,154.12,200.0
533434.6,4840332.66,153.93,230.0
533434.6,4840332.8,153.86,200.0
533434.71,4840332.82,153.79,210.0
533435.06,4840332.95,153.66,210.0
533434.98,4840332.97,153.56,210.0
533434.61,4840332.78,153.71,210.0
533434.68,4840332.68,153.55,220.0
533434.7,4840332.76,153.39,230.0
533434.89,4840332.95,153.42,230.0
533434.82,4840332.27,154.22,160.0
533434.75,4840332.15,154.24,170.0
533434.39,4840332.05,154.24,180.0
533434.71,4840332.4,153.85,180.0
533434.67,4840332.22,153.9,180.0
533434.36,4840332.04,153.94,200.0
533434.33,4840332.11,153.75,230.0
533434.59,4840332.52,153.58,220.0
533434.57,4840332.28,153.65,200.0
533434.36,4840332.13,153.53,270.0
533434.43,4840332.39,153.28,270.0
533434.07,4840331.71,154.16,210.0
533433.96,4840331.7,154.13,210.0
533434.09,4840331.61,153.64,250.0
533434.26,4840331.64,153.33,290.0
533434.29,4840331.71,153.11,280.0
533434.17,4840331.34,153.25,270.0
533434.01,4840331.52,153.67,250.0
533434.16,4840331.44,153.4,270.0
533433.95,4840331.21,154.16,210.0
533433.92,4840331.34,153.92,250.0
533434.01,4840331.0,153.99,210.0
533434.05,4840331.05,153.73,240.0
533434.08,4840330.89,153.67,250.0
533434.09,4840331.11,153.64,280.0
533434.15,4840331.08,153.47,230.0
533434.13,4840331.34,153.02,280.0
533434.01,4840330.96,153.13,290.0
533434.01,4840330.63,153.69,170.0
533433.95,4840330.51,153.65,200.0
533434.03,4840330.49,153.43,300.0
533434.04,4840330.6,153.3,340.0
533432.28,4840329.69,152.74,290.0
533432.69,4840329.67,152.77,280.0
533432.0,4840330.55,152.19,820.0
533432.68,4840330.04,152.69,360.0
533432.19,4840330.09,152.55,280.0
533432.49,4840330.39,152.55,480.0
533432.74,4840330.66,152.51,590.0
533433.09,4840330.95,152.48,620.0
533432.72,4840331.21,152.48,650.0
533432.46,4840331.64,152.48,350.0
533432.87,4840331.78,152.52,530.0
533433.37,4840332.22,152.52,530.0
533432.88,4840332.1,152.54,430.0
533432.41,4840332.14,152.48,300.0
533433.21,4840332.5,152.5,430.0
533432.94,4840332.64,152.5,340.0
533432.5,4840332.61,152.52,300.0
533432.97,4840333.24,152.53,320.0
533432.5,4840333.17,152.57,290.0
533432.57,4840333.78,152.55,330.0
533433.23,4840334.47,152.55,330.0
533433.66,4840334.38,152.51,380.0
533432.94,4840334.02,152.54,300.0
533433.42,4840333.84,152.51,480.0
533432.6,4840334.62,152.49,280.0
533432.78,4840335.17,152.39,260.0
533433.14,4840335.05,152.36,260.0
533433.48,4840335.22,152.36,330.0
533432.87,4840334.7,152.43,320.0
533433.33,4840334.6,152.38,450.0
533434.03,4840334.76,152.55,750.0
533433.93,4840335.36,152.56,320.0
533433.92,4840336.43,152.56,290.0
533433.98,4840336.03,152.6,290.0
533434.37,4840336.43,152.63,315.0
533434.64,4840336.3,152.67,370.0
533435.23,4840336.67,152.62,370.0
533435.52,4840336.66,152.61,460.0
533436.03,4840335.9,152.87,450.0
533434.6,4840335.1,152.61,610.0
533434.69,4840337.64,152.44,300.0
533434.89,4840337.27,152.56,340.0
533435.33,4840337.62,152.61,300.0
533435.71,4840337.51,152.65,380.0
533436.1,4840337.49,152.64,400.0
533436.37,4840337.43,152.63,400.0
533436.65,4840337.39,152.64,550.0
533436.53,4840336.56,152.77,620.0
533436.44,4840336.29,152.84,370.0
533435.85,4840337.99,152.41,570.0
533435.6,4840338.06,152.37,530.0
533436.41,4840337.95,152.48,600.0
533436.23,4840338.27,152.19,780.0
533436.88,4840338.02,152.34,580.0
533436.59,4840338.37,152.22,460.0
533436.44,4840338.53,151.99,880.0
533435.68,4840338.29,152.2,1250.0
533436.1,4840338.57,151.88,1180.0
533435.59,4840338.55,151.42,1590.0
533436.62,4840338.64,151.97,880.0
533435.82,4840345.56,152.13,1540.0
533435.83,4840345.13,152.0,1950.0
533435.8,4840345.34,152.09,1550.0
533435.77,4840345.5,151.9,2380.0
533435.79,4840345.41,151.93,2060.0
533435.85,4840345.22,151.92,2740.0
533435.62,4840345.63,151.79,1660.0
533435.59,4840345.71,151.71,1520.0
533435.63,4840345.51,151.78,1750.0
533435.76,4840345.4,151.81,2700.0
533435.85,4840345.26,151.87,2890.0
533435.73,4840345.16,151.77,2130.0
533435.84,4840345.31,151.79,2520.0
533435.6,4840345.56,151.6,1540.0
533435.65,4840345.31,151.54,1440.0
533435.59,4840345.56,151.45,1400.0
533435.53,4840345.44,151.31,1230.0
533435.54,4840345.27,151.26,1220.0
533435.52,4840345.42,151.03,960.0
533435.51,4840345.52,150.95,800.0
533435.47,4840345.91,151.26,1150.0
533435.54,4840345.69,151.37,1100.0
533435.68,4840344.87,151.92,1210.0
533435.69,4840345.05,151.72,1740.0
533435.71,4840344.64,151.79,1180.0
533435.68,4840344.92,151.75,1740.0
533435.66,4840344.8,151.74,1480.0
533435.67,4840344.71,151.6,1490.0
533435.66,4840344.92,151.61,1590.0
533435.65,4840344.89,151.46,1470.0
533435.67,4840345.12,151.52,1490.0
533435.66,4840345.12,151.33,1190.0
533435.67,4840344.91,151.26,1080.0
533435.67,4840344.84,151.19,1140.0
533435.56,4840345.09,151.19,1130.0
533436.09,4840345.67,152.3,1600.0
533436.27,4840345.55,152.29,1550.0
533436.12,4840345.08,152.14,1700.0
533436.29,4840344.83,152.02,1350.0
533436.39,4840345.17,152.13,1450.0
533436.85,4840345.44,152.2,1560.0
